"DateTime";"Wilgotność";"Temperatura"
"2022-02-20 22:00:00";45;24,7
"2022-02-20 22:05:00";45;24,6
"2022-02-20 22:10:00";45;24,6
"2022-02-20 22:15:00";45;24,5
"2022-02-20 22:20:00";45;24,5
"2022-02-20 22:25:00";45;24,4
"2022-02-20 22:30:00";45;24,4
"2022-02-20 22:35:00";45;24,4
"2022-02-20 22:40:00";45;24,4
"2022-02-20 22:45:00";45;24,3
"2022-02-20 22:50:00";45;24,2
"2022-02-20 22:55:00";45;24,2
"2022-02-20 23:00:00";46;24,1
"2022-02-20 23:05:00";46;24,1
"2022-02-20 23:10:00";46;24
"2022-02-20 23:15:00";46;24
"2022-02-20 23:20:00";46;24
"2022-02-20 23:25:00";46;23,9
"2022-02-20 23:30:00";46;23,9
"2022-02-20 23:35:00";46;23,8
"2022-02-20 23:40:00";46;23,8
"2022-02-20 23:45:00";46;23,8
"2022-02-20 23:50:00";46;23,7
"2022-02-20 23:55:00";46;23,6
"2022-02-21 00:00:00";46;23,6
"2022-02-21 00:05:00";46;23,6
"2022-02-21 00:10:00";46;23,5
"2022-02-21 00:15:00";46;23,5
"2022-02-21 00:20:00";46;23,4
"2022-02-21 00:25:00";47;23,4
"2022-02-21 00:30:00";47;23,4
"2022-02-21 00:35:00";47;23,4
"2022-02-21 00:40:00";47;23,4
"2022-02-21 00:45:00";47;23,3
"2022-02-21 00:50:00";47;23,2
"2022-02-21 00:55:00";47;23,2
"2022-02-21 01:00:00";47;23,2
"2022-02-21 01:05:00";47;23,2
"2022-02-21 01:10:00";47;23,1
"2022-02-21 01:15:00";47;23
"2022-02-21 01:20:00";48;23
"2022-02-21 01:25:00";48;23
"2022-02-21 01:30:00";48;23
"2022-02-21 01:35:00";48;23
"2022-02-21 01:40:00";48;22,9
"2022-02-21 01:45:00";48;22,9
"2022-02-21 01:50:00";48;22,9
"2022-02-21 01:55:00";48;22,9
"2022-02-21 02:00:00";48;22,8
"2022-02-21 02:05:00";48;22,9
"2022-02-21 02:10:00";48;22,8
"2022-02-21 02:15:00";48;22,8
"2022-02-21 02:20:00";48;22,8
"2022-02-21 02:25:00";48;22,7
"2022-02-21 02:30:00";48;22,7
"2022-02-21 02:35:00";48;22,7
"2022-02-21 02:40:00";48;22,7
"2022-02-21 02:45:00";48;22,7
"2022-02-21 02:50:00";48;22,6
"2022-02-21 02:55:00";48;22,6
"2022-02-21 03:00:00";49;22,6
"2022-02-21 03:05:00";49;22,6
"2022-02-21 03:10:00";48;22,6
"2022-02-21 03:15:00";49;22,5
"2022-02-21 03:20:00";49;22,5
"2022-02-21 03:25:00";49;22,4
"2022-02-21 03:30:00";49;22,4
"2022-02-21 03:35:00";49;22,4
"2022-02-21 03:40:00";49;22,4
"2022-02-21 03:45:00";49;22,4
"2022-02-21 03:50:00";49;22,4
"2022-02-21 03:55:00";49;22,4
"2022-02-21 04:00:00";49;22,3
"2022-02-21 04:05:00";49;22,4
"2022-02-21 04:10:00";49;22,3
"2022-02-21 04:15:00";49;22,3
"2022-02-21 04:20:00";49;22,2
"2022-02-21 04:25:00";49;22,3
"2022-02-21 04:30:00";49;22,2
"2022-02-21 04:35:00";49;22,2
"2022-02-21 04:40:00";49;22,2
"2022-02-21 04:45:00";49;22,1
"2022-02-21 04:50:00";49;22,2
"2022-02-21 04:55:00";49;22,1
"2022-02-21 05:00:00";49;22,1
"2022-02-21 05:05:00";49;22,1
"2022-02-21 05:10:00";49;22,1
"2022-02-21 05:15:00";49;22
"2022-02-21 05:20:00";49;22
"2022-02-21 05:25:00";49;22
"2022-02-21 05:30:00";49;22
"2022-02-21 05:35:00";49;22
"2022-02-21 05:40:00";49;22
"2022-02-21 05:45:00";49;21,9
"2022-02-21 05:50:00";49;21,9
"2022-02-21 05:55:00";49;21,9
"2022-02-21 06:00:00";47;21,9
"2022-02-21 06:05:00";47;21,9
"2022-02-21 06:10:00";48;21,8
"2022-02-21 06:15:00";48;21,8
"2022-02-21 06:20:00";48;21,8
"2022-02-21 06:25:00";48;21,7
"2022-02-21 06:30:00";48;21,7
"2022-02-21 06:35:00";48;21,7
"2022-02-21 06:40:00";48;21,7
"2022-02-21 06:45:00";48;21,7
"2022-02-21 06:50:00";48;21,6
"2022-02-21 06:55:00";48;21,6
"2022-02-21 07:00:00";47;21,6
"2022-02-21 07:05:00";48;21,6
"2022-02-21 07:10:00";47;21,5
"2022-02-21 07:15:00";47;21,5
"2022-02-21 07:20:00";47;21,5
"2022-02-21 07:25:00";47;21,5
"2022-02-21 07:30:00";47;21,4
"2022-02-21 07:35:00";47;21,4
"2022-02-21 07:40:00";48;21,4
"2022-02-21 07:45:00";47;21,4
"2022-02-21 07:50:00";47;21,4
"2022-02-21 07:55:00";47;21,4
"2022-02-21 08:00:00";47;21,4
"2022-02-21 08:05:00";47;21,4
"2022-02-21 08:10:00";47;21,4
"2022-02-21 08:15:00";47;21,4
"2022-02-21 08:20:00";47;21,3
"2022-02-21 08:25:00";47;21,3
"2022-02-21 08:30:00";47;21,3
"2022-02-21 08:35:00";47;21,2
"2022-02-21 08:40:00";47;21,2
"2022-02-21 08:45:00";47;21,2
"2022-02-21 08:50:00";47;21,2
"2022-02-21 08:55:00";47;21,2
"2022-02-21 09:00:00";47;21,2
"2022-02-21 09:05:00";47;21,2
"2022-02-21 09:10:00";47;21,1
"2022-02-21 09:15:00";47;21,1
"2022-02-21 09:20:00";47;21,1
"2022-02-21 09:25:00";47;21,1
"2022-02-21 09:30:00";47;21
"2022-02-21 09:35:00";47;21
"2022-02-21 09:40:00";47;21
"2022-02-21 09:45:00";47;21
"2022-02-21 09:50:00";47;21
"2022-02-21 09:55:00";47;21
"2022-02-21 10:00:00";46;21
"2022-02-21 10:05:00";47;20,9
"2022-02-21 10:10:00";47;21
"2022-02-21 10:15:00";47;20,9
