"DateTime";"Wilgotność";"Temperatura Average";"Temperatura Range (low)";"Temperatura Range (high)"
"2021-02-28 00:00:00";43;26,32;0;28,6
"2021-03-01 00:00:00";40;24,55;20,9;29,2
"2021-03-02 00:00:00";41;24,75;21,8;30
"2021-03-03 00:00:00";40;24,78;21,7;27,6
"2021-03-04 00:00:00";41;24,11;20,6;29,7
"2021-03-05 00:00:00";38;24,19;20,2;30,6
"2021-03-06 00:00:00";36;24,95;19,7;29,8
"2021-03-07 00:00:00";39;25,24;22,4;28,5
"2021-03-08 00:00:00";37;24,4;20,9;29,7
"2021-03-09 00:00:00";36;23,32;19,6;27,9
"2021-03-10 00:00:00";35;22,72;18,6;28,8
"2021-03-11 00:00:00";35;22,6;17,4;27,2
"2021-03-12 00:00:00";39;22,41;19,1;28,4
"2021-03-13 00:00:00";39;22,97;20,4;26,5
"2021-03-14 00:00:00";41;23,36;20,7;26,8
"2021-03-15 00:00:00";40;22,11;20,2;25,9
"2021-03-16 00:00:00";40;22,89;19,8;29,8
"2021-03-17 00:00:00";40;22,63;20;27
"2021-03-18 00:00:00";38;22;19,2;28
"2021-03-19 00:00:00";38;23,78;21,4;27,4
"2021-03-20 00:00:00";37;23,79;20,3;29,9
"2021-03-21 00:00:00";36;24,38;21;28,1
"2021-03-22 00:00:00";37;22,72;20,2;26,4
"2021-03-23 00:00:00";38;22,54;20,1;27,1
"2021-03-24 00:00:00";40;22,59;19,8;28,2
"2021-03-25 00:00:00";40;21,96;19,8;25,8
"2021-03-26 00:00:00";39;21,45;18,8;25,5
"2021-03-27 00:00:00";40;22,21;19,7;25,8
"2021-03-28 00:00:00";40;24,87;21,7;28,4
"2021-03-29 00:00:00";40;23,39;21;26
"2021-03-30 00:00:00";45;23;21;27,4
"2021-03-31 00:00:00";45;23,05;21,6;26,9
"2021-04-01 00:00:00";45;23,01;21,9;26,1
"2021-04-02 00:00:00";44;22,86;21;27
"2021-04-03 00:00:00";40;23,59;20,4;27,4
"2021-04-04 00:00:00";38;24,65;21,9;28,4
"2021-04-05 00:00:00";40;23,34;20,9;26,7
"2021-04-06 00:00:00";38;21,93;19,6;25,4
"2021-04-07 00:00:00";38;21,27;19;26,4
"2021-04-08 00:00:00";40;20,94;18,9;24,7
"2021-07-13 00:00:00";67;25,7;25,4;26,2
"2021-07-14 00:00:00";72;25,99;24,7;27,2
"2021-07-15 00:00:00";68;26,54;25,9;27,4
"2021-07-16 00:00:00";69;26,58;26,4;26,9
"2021-07-18 00:00:00";66;26,19;26,1;26,3
"2021-07-19 00:00:00";59;25,63;25,2;26,1
"2021-07-20 00:00:00";54;24,56;24,1;25,2
"2021-07-21 00:00:00";56;24,09;23,7;24,5
"2021-07-22 00:00:00";56;23,72;23,2;24
"2021-07-23 00:00:00";62;23,35;23,1;23,7
"2021-07-24 00:00:00";61;22,84;22,4;23,5
"2021-07-25 00:00:00";60;23,7;22,8;24,7
"2021-07-26 00:00:00";67;23,84;23,5;24,4
"2021-07-27 00:00:00";76;23,69;23,2;24,1
"2021-07-28 00:00:00";71;24,14;23,3;24,9
"2021-07-29 00:00:00";70;24,48;24;25,1
"2021-07-30 00:00:00";62;24;23,4;24,4
"2021-07-31 00:00:00";63;23,58;22,6;24,2
"2021-08-01 00:00:00";67;23,19;22,9;23,7
"2021-08-02 00:00:00";68;22,44;22,1;23
"2021-08-03 00:00:00";62;22,15;21,5;22,6
"2021-08-04 00:00:00";67;21,74;21,4;22,3
"2021-08-05 00:00:00";69;20,96;20,7;21,6
"2021-08-06 00:00:00";72;20,79;20,1;23,2
"2021-08-07 00:00:00";66;22,15;21,5;22,7
"2021-08-08 00:00:00";71;21,72;21,4;22,3
"2021-08-09 00:00:00";70;21,79;21,2;22,4
"2021-08-10 00:00:00";65;21,85;21,2;22,6
"2021-08-11 00:00:00";68;21,59;21,3;21,9
"2021-08-12 00:00:00";64;21,41;20,8;21,9
"2021-08-13 00:00:00";62;21,82;20,8;22,8
"2021-08-14 00:00:00";71;22,46;21,5;23,4
"2021-08-15 00:00:00";70;22,99;22,3;23,5
"2021-08-16 00:00:00";71;23,12;22,1;23,9
"2021-08-17 00:00:00";66;22,59;21,9;23,3
"2021-08-18 00:00:00";60;21,3;21;21,9
"2021-08-19 00:00:00";65;20,98;20,5;21,5
"2021-08-20 00:00:00";68;21,23;20,7;21,7
"2021-08-21 00:00:00";68;21,23;21;21,5
"2021-08-22 00:00:00";65;20,83;20,4;21,2
"2021-08-23 00:00:00";70;20,41;20,1;20,8
"2021-08-24 00:00:00";67;19,59;19;20,1
"2021-08-25 00:00:00";60;18,81;18,4;19,1
