"DateTime";"Wilgotność";"Temperatura Average";"Temperatura Range (low)";"Temperatura Range (high)"
"2021-02-21 00:00:00";42;21,26;16,8;25,9
"2021-02-22 00:00:00";39;22,68;18,9;27,6
"2021-02-23 00:00:00";41;21,63;19,6;27
"2021-02-24 00:00:00";42;22,11;19,9;27,7
"2021-02-25 00:00:00";42;22,65;20,5;28,2
"2021-02-26 00:00:00";42;23,18;20,7;28
"2021-02-27 00:00:00";40;23,15;19,3;27,8
"2021-02-28 00:00:00";41;22,7;20;26,7
"2021-03-01 00:00:00";41;21,91;19,2;26,7
"2021-03-02 00:00:00";42;22,32;19,9;27,6
"2021-03-03 00:00:00";42;21,98;19,6;26,4
"2021-03-04 00:00:00";42;21,62;18,8;26,7
"2021-03-05 00:00:00";40;21,88;19,2;27,3
"2021-03-06 00:00:00";37;22,38;17,8;27,4
"2021-03-07 00:00:00";41;22,63;19,8;26,7
"2021-03-08 00:00:00";39;21,77;18,8;27
"2021-03-09 00:00:00";38;20,9;17,6;26
"2021-03-10 00:00:00";38;20,4;17,3;26,8
"2021-03-11 00:00:00";39;19,67;15,6;24,7
"2021-03-12 00:00:00";42;19,72;17,4;25,5
"2021-03-13 00:00:00";43;20,94;18,1;24,8
"2021-03-14 00:00:00";42;21,72;18,7;25,7
"2021-03-15 00:00:00";43;20,79;19,1;25,9
"2021-03-16 00:00:00";42;21,24;19;27,5
"2021-03-17 00:00:00";42;20,37;17,9;25,3
"2021-03-18 00:00:00";41;19,74;17,3;26,3
"2021-03-19 00:00:00";40;22,66;19,8;25,4
"2021-03-20 00:00:00";39;21,33;18;27,7
"2021-03-21 00:00:00";39;21,71;19;25,4
"2021-03-22 00:00:00";39;20,43;18,5;25,2
"2021-03-23 00:00:00";41;20,55;18,5;26
"2021-03-24 00:00:00";43;20,56;18,3;26
"2021-03-25 00:00:00";43;20,35;18,6;26
"2021-03-26 00:00:00";41;20,23;18,7;25
"2021-03-27 00:00:00";41;21,46;18,8;26
"2021-03-28 00:00:00";41;23,12;20,2;27,4
"2021-03-29 00:00:00";43;21,8;20;25,7
"2021-03-30 00:00:00";47;21,44;19,8;26
"2021-03-31 00:00:00";47;21,85;20,4;26,5
"2021-04-01 00:00:00";46;22,27;21,1;26,2
"2021-04-02 00:00:00";42;22,58;20,9;27,8
"2021-04-03 00:00:00";40;22,44;19,2;26,5
"2021-04-04 00:00:00";39;22,64;19,8;28,4
"2021-04-05 00:00:00";40;22,31;20,3;26
"2021-04-06 00:00:00";40;20,7;18,6;24,9
"2021-04-07 00:00:00";40;19,96;18;25,2
"2021-04-08 00:00:00";42;19,51;17,7;25,2
"2021-07-13 00:00:00";71;25,95;24,1;27,8
"2021-07-14 00:00:00";75;26,36;24,7;29,3
"2021-07-15 00:00:00";69;25,79;24,9;26,8
"2021-07-16 00:00:00";72;25,76;25,6;26
"2021-07-18 00:00:00";69;25,83;25,5;26
"2021-07-19 00:00:00";61;25,53;24;26,6
"2021-07-20 00:00:00";56;24,13;23,2;25,8
"2021-07-21 00:00:00";58;23,64;23,3;24,2
"2021-07-22 00:00:00";58;23,45;22,7;24,9
"2021-07-23 00:00:00";65;22,95;22,2;23,7
"2021-07-24 00:00:00";64;22,36;21,8;23,4
"2021-07-25 00:00:00";64;23,68;22,8;24,6
"2021-07-26 00:00:00";68;24,15;23,7;25,1
"2021-07-27 00:00:00";74;24,14;23,4;25,1
"2021-07-28 00:00:00";73;23,94;22,8;25,1
"2021-07-29 00:00:00";72;24,62;23,1;26
"2021-07-30 00:00:00";66;23,53;22,2;25,2
"2021-07-31 00:00:00";68;22,89;21,2;24,3
"2021-08-01 00:00:00";71;22,63;21,7;23,3
"2021-08-02 00:00:00";69;22,42;21,8;23,2
"2021-08-03 00:00:00";63;22,33;21,4;23,4
"2021-08-04 00:00:00";68;21,95;21,6;22,4
"2021-08-05 00:00:00";70;21,12;20,8;21,8
"2021-08-06 00:00:00";73;20,91;20,3;22,7
"2021-08-07 00:00:00";69;21,9;20,6;23,3
"2021-08-08 00:00:00";72;22,04;21,4;22,8
"2021-08-09 00:00:00";70;22,56;21,7;23,8
"2021-08-10 00:00:00";66;22;21,3;22,6
"2021-08-11 00:00:00";69;21,91;21,3;23
"2021-08-12 00:00:00";63;21,93;21,1;22,9
"2021-08-13 00:00:00";62;22,36;21;23,7
"2021-08-14 00:00:00";70;23,01;21,7;25
"2021-08-15 00:00:00";70;23,38;22,5;24,2
"2021-08-16 00:00:00";70;23,34;22,5;24,3
"2021-08-17 00:00:00";66;23,04;22,2;23,6
"2021-08-18 00:00:00";60;21,87;21;22,5
"2021-08-19 00:00:00";64;21,61;20,8;22,2
"2021-08-20 00:00:00";68;21,81;20,9;22,6
"2021-08-21 00:00:00";68;22,01;21,4;22,8
"2021-08-22 00:00:00";65;21,46;20,6;22
"2021-08-23 00:00:00";69;21,15;20,9;21,4
"2021-08-24 00:00:00";68;20,52;20;21
"2021-08-25 00:00:00";61;19,99;19,4;20,6
"2021-08-26 00:00:00";64;19,17;18,7;19,8
"2021-08-27 00:00:00";68;18,8;18,5;19,3
"2021-08-28 00:00:00";70;18,75;18,5;19,3
"2021-08-29 00:00:00";67;19,67;18,1;24,6
"2021-08-30 00:00:00";67;20,91;19,7;24,4
"2021-08-31 00:00:00";67;21,91;20,8;25,9
"2021-09-01 00:00:00";62;22,53;21,4;25,7
"2021-09-02 00:00:00";55;22,11;21,3;23,1
"2021-09-03 00:00:00";56;21,28;20,2;22,3
"2021-09-04 00:00:00";52;20,34;19,6;21,2
"2021-09-05 00:00:00";48;20,03;18;25
"2021-09-06 00:00:00";48;20,98;19,4;25,6
"2021-09-07 00:00:00";52;21,34;20,6;22,3
"2021-09-08 00:00:00";57;21,23;20,2;22,3
"2021-09-09 00:00:00";58;21,28;20;22,5
"2021-09-10 00:00:00";57;21,19;19,8;22,7
"2021-09-11 00:00:00";57;21,6;19,7;24,2
"2021-09-12 00:00:00";68;21,83;20,8;22,9
"2021-09-13 00:00:00";70;21,47;21;22
"2021-09-14 00:00:00";68;20,75;20,1;21,2
"2021-09-15 00:00:00";65;20,29;19,1;21,2
"2021-09-16 00:00:00";70;20,8;19,4;24,7
"2021-09-17 00:00:00";71;22,46;21,3;25,6
"2021-09-18 00:00:00";60;22,31;20,8;25
"2021-09-19 00:00:00";52;21,93;20,1;25,4
"2021-09-20 00:00:00";49;21,44;19,5;26
"2021-09-21 00:00:00";50;21,1;19,8;24,5
"2021-09-22 00:00:00";51;21,48;19,8;26
"2021-09-23 00:00:00";56;21,87;20,4;26,8
"2021-09-24 00:00:00";53;22,36;20,9;26,3
"2021-09-25 00:00:00";60;22,89;21,6;26,8
"2021-09-26 00:00:00";57;23,17;21,8;27,3
"2021-09-27 00:00:00";52;23,02;21,7;27,1
"2021-09-28 00:00:00";49;22,66;21,3;26,8
"2021-09-29 00:00:00";48;22,27;20,8;26,4
"2021-09-30 00:00:00";55;22;20,4;25,3
"2021-10-01 00:00:00";55;21,7;20;25,5
"2021-10-02 00:00:00";58;21,58;19,5;24,5
"2021-10-03 00:00:00";56;21,99;20,8;25,2
"2021-10-04 00:00:00";57;22,54;21,2;26,4
"2021-10-05 00:00:00";54;22,8;21,3;26,5
"2021-10-06 00:00:00";50;22,71;21,2;26,7
"2021-10-07 00:00:00";45;22,95;21,5;27,2
"2021-10-08 00:00:00";45;23,3;21,8;27,2
"2021-10-09 00:00:00";45;23,14;21,4;27,1
"2021-10-10 00:00:00";43;22,98;21,5;26,8
"2021-10-11 00:00:00";45;21,65;20,6;25,2
"2021-10-12 00:00:00";47;21,26;20;25
"2021-10-13 00:00:00";49;21,16;19,7;25,2
"2021-10-14 00:00:00";47;21,02;19,2;25,2
"2021-10-15 00:00:00";51;21,46;20;26,2
"2021-10-16 00:00:00";50;22,32;20;27,4
"2021-10-17 00:00:00";49;22,2;20,5;26,7
"2021-10-18 00:00:00";48;22,17;20,3;27,2
"2021-10-19 00:00:00";51;22,12;20,3;25,9
"2021-10-20 00:00:00";52;22,16;20,5;26,6
"2021-10-21 00:00:00";50;23,02;21,3;27,2
"2021-10-22 00:00:00";47;23,12;21,4;26,4
"2021-10-23 00:00:00";49;22,11;20,3;25,9
"2021-10-24 00:00:00";47;21,87;19,7;25,7
"2021-10-25 00:00:00";43;21,06;19,2;26,2
"2021-10-26 00:00:00";46;21,43;19,6;26,1
"2021-10-27 00:00:00";50;22,58;20;27,4
"2021-10-28 00:00:00";50;23,14;21;27,3
"2021-10-29 00:00:00";45;23,17;21,5;27,2
"2021-10-30 00:00:00";48;22,61;21;25,9
"2021-10-31 00:00:00";49;22,08;20,6;25,2
"2021-11-01 00:00:00";46;22;20,2;25,3
"2021-11-02 00:00:00";45;21,86;19,9;26,7
"2021-11-03 00:00:00";47;22,31;20,2;27
"2021-11-04 00:00:00";47;22,1;20,2;25,9
"2021-11-05 00:00:00";45;22,15;20,3;26
"2021-11-06 00:00:00";48;21,94;19,4;26,5
"2021-11-07 00:00:00";46;22,06;19,3;26,1
"2021-11-08 00:00:00";48;21,89;20,1;25,7
"2021-11-09 00:00:00";46;21,64;19,4;26,6
"2021-11-10 00:00:00";44;21,07;19,4;25
"2021-11-11 00:00:00";45;22,02;19,2;26,8
"2021-11-12 00:00:00";48;22,29;20,1;25,8
"2021-11-13 00:00:00";50;20,86;16,6;24,5
"2021-11-14 00:00:00";51;21,17;18;25
"2021-11-15 00:00:00";47;21,17;19;25,3
"2021-11-16 00:00:00";46;22,04;19;27
"2021-11-17 00:00:00";44;22,34;19,8;26,3
"2021-11-18 00:00:00";44;22,56;20,1;26,2
"2021-11-19 00:00:00";47;22,6;20,3;26,5
"2021-11-20 00:00:00";50;21,76;19,6;24,4
"2021-11-21 00:00:00";51;21,59;19,1;25,8
"2021-11-22 00:00:00";48;21,7;18,9;26,4
"2021-11-23 00:00:00";46;21,32;18,8;26,8
"2021-11-24 00:00:00";46;22,36;20,6;25,7
"2021-11-25 00:00:00";43;21,3;19,1;26,3
"2021-11-26 00:00:00";42;21,48;18,8;25,6
"2021-11-27 00:00:00";43;20,98;18,3;26,1
"2021-11-28 00:00:00";42;22,17;18,7;25,5
"2021-11-29 00:00:00";43;20,99;18,4;26,4
"2021-11-30 00:00:00";42;20,52;17,6;26
"2021-12-01 00:00:00";42;20,29;16,3;26,2
"2021-12-02 00:00:00";42;21;18,8;26,9
"2021-12-03 00:00:00";40;20,4;18,2;24,6
"2021-12-04 00:00:00";40;20,27;15,8;26,2
"2021-12-05 00:00:00";39;21,17;18,2;25,5
"2021-12-06 00:00:00";39;20,53;17,3;26,6
"2021-12-07 00:00:00";38;20,17;16,8;26
"2021-12-08 00:00:00";36;19,52;16,2;25,8
"2021-12-09 00:00:00";36;18,94;15,7;25,6
"2021-12-10 00:00:00";37;19,25;15,8;25,4
"2021-12-11 00:00:00";40;20,89;18;26,8
"2021-12-12 00:00:00";39;21,44;18,5;25,9
"2021-12-13 00:00:00";38;19,99;17,1;25,7
"2021-12-14 00:00:00";39;19,42;16,3;26,2
"2021-12-15 00:00:00";41;19,37;16,9;25,9
"2021-12-16 00:00:00";43;20,06;17,3;26,6
"2021-12-17 00:00:00";42;20,42;18;25,6
"2021-12-18 00:00:00";42;21,51;18,6;26,7
"2021-12-19 00:00:00";41;21,88;19;26,5
"2021-12-20 00:00:00";38;20,8;17,8;25,9
"2021-12-21 00:00:00";36;20,04;17,1;26
"2021-12-22 00:00:00";36;19,26;16,4;25,4
"2021-12-23 00:00:00";34;18,95;15,6;25,1
"2021-12-24 00:00:00";37;20,06;16,7;27,4
"2021-12-25 00:00:00";34;20,54;17,5;25,7
"2021-12-26 00:00:00";33;20,24;17,3;25,1
"2021-12-27 00:00:00";33;18,86;15,9;24,8
"2021-12-28 00:00:00";36;19,28;15,1;25,4
"2021-12-29 00:00:00";33;18,51;15,1;24,5
"2021-12-30 00:00:00";38;18,9;15,9;26,5
"2021-12-31 00:00:00";42;20,11;17,4;26,6
"2022-01-01 00:00:00";44;22,04;19,1;26,7
"2022-01-02 00:00:00";42;22,14;19,8;25,2
"2022-01-03 00:00:00";44;21,51;19;27,4
"2022-01-04 00:00:00";44;21,96;18,7;28,1
"2022-01-05 00:00:00";44;22,23;19,8;26,4
"2022-01-06 00:00:00";40;22,25;19,4;26,6
"2022-01-07 00:00:00";37;22,07;18,6;27,5
"2022-01-08 00:00:00";35;21,91;18,7;27,3
"2022-01-09 00:00:00";35;21,78;18,4;26,3
"2022-01-10 00:00:00";35;20,34;17,2;25,7
"2022-01-11 00:00:00";35;19,44;16;26,6
"2022-01-12 00:00:00";35;19,84;16,7;26,7
"2022-01-13 00:00:00";37;19,49;16,7;25,7
"2022-01-14 00:00:00";39;20,07;17,1;25,3
"2022-01-15 00:00:00";37;21,8;18;27,6
"2022-01-16 00:00:00";37;22,69;19,2;27,8
